place_id,name,latitude,longitude
ChIJE_JZQxsKkEcRJF8kgqWKQBI,Masala,47.3729916,8.5290354
ChIJ_whoHxsKkEcRYRhSFKK_XQQ,Don Leone,47.3746201,8.529057599999998
ChIJ7ae3rwMKkEcRJvQWk0SXx1Q,Nagasui Restaurant & Take Away,47.3702558,8.5328951
ChIJ7ZMwUgEKkEcRjV6Q7jc2y1I,"Kaufleuten Restaurant (Kultur, Anlässe und Bankett)",47.3716391,8.536362500000001
ChIJAzYYmBsKkEcRnXMcR6ZJ3F8,Restaurant Le Cèdre - Badenerstrasse,47.3738896,8.526570099999999
ChIJ57PB_RoKkEcRNlgLScX1wdM,Fribourger Fondue Stübli,47.37503,8.528168000000003
ChIJk8kDXxoKkEcR3ZY2CS8nLUA,Ah-Hua,47.3761282,8.527922300000002
ChIJtwgunwYKkEcRhBQ0vi_9kHo,Haus Hiltl,47.3733026,8.5366792
ChIJmx-bphwKkEcRaYZra_sl-JY,Casa Certo,47.372212,8.528919
ChIJO_apuSEKkEcRvHz6cQrBRms,Restaurant La Côte,47.3718032,8.5159273
ChIJfbuY96egmkcRHsT88ca1g_s,Central Plaza Hotel,47.3772278,8.5437975
ChIJF45_RwcKkEcR66MRpRfBqCY,Kindli Hotel,47.3724547,8.540644700000001
ChIJFx0eqgAKkEcR9YDVzWpXjyc,Storchen Zürich - Lifestyle Boutique Hotel,47.371281,8.541774
ChIJTwygRaigmkcRTRIWwnPNqAI,Hotel Scheuble,47.37443429999999,8.544882599999998
ChIJkbWbuKmgmkcRBeCnG46Ek4w,Vienna Hotel - Wellenberg,47.3730278,8.5439282
ChIJW1XJzqmgmkcRx-_afBnwnJY,Hirschen,47.37338599999999,8.543574999999999
ChIJUQg6sqmgmkcR6ez9jzpie6c,Barfüsser Sushi Bar & Lounge Niederdorf,47.37354029999999,8.544040299999999
ChIJX7fB6wAKkEcRhpTedk8sztg,Zeughauskeller,47.3704208,8.539974200000001
ChIJO1F5rwAKkEcRJ7H4nRupWr4,Veltlinerkeller,47.37096469999999,8.5411972
ChIJraTDVgYKkEcR00THymbQihE,Jules Verne Panoramabar,47.37435079999999,8.5393968
ChIJ0a66IqqgmkcRxtP4EjFt_qc,Negishi,47.37084259999999,8.5435412
ChIJi7Jik6mgmkcRZeF32YkNNKc,Santa Lucia Niederdorf,47.3721798,8.5437228
ChIJXT485wAKkEcRmYgz1gFYLGA,Bärengasse,47.37028029999999,8.5387162
ChIJ27YcvwAKkEcROpgKdGSEyA4,zum Kropf,47.37067500000001,8.540208800000002
ChIJ59SItKugmkcRbhp5qQhRE3U,Karl der Grosse,47.3697369,8.5446686
ChIJ2x3-1gYKkEcRswSOD1ORE0k,Cantinetta Antinori,47.37226090000001,8.538782099999999
ChIJ3RoCHqqgmkcRE13hxp_RiaY,Zunfthaus zur Haue,47.37138890000001,8.543055599999999
ChIJyTQjiKmgmkcRE-TPegnxLhQ,H. Schwarzenbach AG,47.3713902,8.543907500000001
ChIJK2-xjw4KkEcR5McDNkueVMI,Sala of Tokyo,47.37621049999999,8.5401994
ChIJoTAix6mgmkcRzhW9Reuf0Vg,Spaghetti Factory,47.3729008,8.5437045
